<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20230708,130499.00,130989.00,129601.00,130009.00,127790720515,982936,514,D,129996.00,129741.00
Kian.Gold.ETF,20230705,130644.00,130644.00,129600.00,129996.00,175881124498,1352972,545,D,130510.00,130374.00
Kian.Gold.ETF,20230704,132300.00,132300.00,130050.00,130510.00,155060106432,1188109,889,D,132978.00,130644.00
Kian.Gold.ETF,20230703,134500.00,134500.00,131500.00,132978.00,141187750109,1061734,784,D,131545.00,131906.00
Kian.Gold.ETF,20230702,131000.00,132394.00,129914.00,131545.00,137516594433,1045398,721,D,129241.00,132000.00
Kian.Gold.ETF,20230701,129000.00,129900.00,128712.00,129241.00,82448148913,637942,898,D,127202.00,128939.00
Kian.Gold.ETF,20230628,127300.00,127600.00,126800.00,127202.00,35990003885,282935,379,D,127379.00,127590.00
Kian.Gold.ETF,20230627,127010.00,127939.00,127000.00,127379.00,44101811490,346226,449,D,127446.00,127600.00
Kian.Gold.ETF,20230626,128000.00,128000.00,126700.00,127446.00,62229977317,488284,459,D,128381.00,127502.00
Kian.Gold.ETF,20230625,128000.00,129300.00,127704.00,128381.00,85870366898,668872,633,D,128103.00,128260.00
Kian.Gold.ETF,20230624,128000.00,128700.00,127433.00,128103.00,171404579159,1338019,1061,D,126897.00,128700.00
Kian.Gold.ETF,20230621,127000.00,127490.00,126260.00,126897.00,43735772535,344656,577,D,128042.00,127300.00
Kian.Gold.ETF,20230620,127999.00,128720.00,126503.00,128042.00,62667987948,489433,702,D,127943.00,128066.00
Kian.Gold.ETF,20230619,128500.00,129189.00,125701.00,127943.00,79551759957,621776,541,D,128648.00,126501.00
Kian.Gold.ETF,20230618,129899.00,129900.00,128002.00,128648.00,60417335542,469632,594,D,131892.00,128700.00
Kian.Gold.ETF,20230617,133000.00,134000.00,129009.00,131892.00,150272776279,1139363,908,D,131671.00,129211.00
Kian.Gold.ETF,20230614,132010.00,133499.00,130000.00,131671.00,131201346899,996435,761,D,131056.00,130000.00
Kian.Gold.ETF,20230613,129299.00,132593.00,128602.00,131056.00,255626986868,1950517,1337,D,124780.00,131000.00
Kian.Gold.ETF,20230612,124001.00,127300.00,124000.00,124780.00,211268525176,1693126,1265,D,126931.00,127299.00
